project,sha,category,reason,violation,reasons,discard,
jdbc-observations-datasource-proxy,486a17ba40a116cb1764ab38aeb4c55de9b7dad4,category 1.1.3,found by mop and missed by ps1c ps3cl mopCache,Specification Arrays_SortBeforeBinarySearch has been violated on line org.apache.logging.log4j.util.SortedArrayStringMap.indexOfKey(SortedArrayStringMap.java:233),false positive - not new violation,TRUE,
jdbc-observations-datasource-proxy,486a17ba40a116cb1764ab38aeb4c55de9b7dad4,category 1.3.2.1,found by mop and missed by ps1c ps3cl cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification SortedSet_Comparable has been violated on line org.apache.logging.log4j.util.PropertiesUtil$Environment.<init>(PropertiesUtil.java:437),"ps1c baserv but didn't run test, false positive - reused old bytecode so outdated line number",TRUE,
jdbc-observations-datasource-proxy,486a17ba40a116cb1764ab38aeb4c55de9b7dad4,category 1.3.2.1,found by mop and missed by ps1c ps3cl cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification SortedSet_Comparable has been violated on line org.apache.logging.log4j.util.PropertiesUtil$Environment.<init>(PropertiesUtil.java:441),"ps1c baserv but didn't run test, false positive - reused old bytecode so outdated line number",TRUE,
jdbc-observations-datasource-proxy,486a17ba40a116cb1764ab38aeb4c55de9b7dad4,category 1.3.2.1,found by mop and missed by ps1c ps3cl cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification TreeSet_Comparable has been violated on line org.apache.logging.log4j.util.PropertiesUtil$Environment.<init>(PropertiesUtil.java:437),"ps1c baserv but didn't run test, false positive - reused old bytecode so outdated line number",TRUE,
jdbc-observations-datasource-proxy,486a17ba40a116cb1764ab38aeb4c55de9b7dad4,category 1.3.2.1,found by mop and missed by ps1c ps3cl cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification TreeSet_Comparable has been violated on line org.apache.logging.log4j.util.PropertiesUtil$Environment.<init>(PropertiesUtil.java:441),"ps1c baserv but didn't run test, false positive - reused old bytecode so outdated line number",TRUE,
jmxtrans-embedded-jmxtrans,4d8cc39a658d52211b156b464f96c697e1c16c5b,category 1.1.1,found by mop and missed by ps3cl,Specification Closeable_MeaninglessClose has been violated on line com.fasterxml.jackson.core.json.UTF8JsonGenerator.close(UTF8JsonGenerator.java:1058),unsafe - never see before,FALSE,event in library
jmxtrans-embedded-jmxtrans,dc18de3a032803acd2c303b15392b30d344464a4,category 1.2.1,found by mop and missed by classCIA classCIAThreads,Specification Iterator_HasNext has been violated on line org.springframework.beans.factory.support.DefaultListableBeanFactory.doResolveDependency(DefaultListableBeanFactory.java:832),unsafe - JDeps says file is unused,FALSE,"loaded using annotation @RunWith(xxx.class), testing framework"
jmxtrans-embedded-jmxtrans,11c7de7c7c8f47c0cedea3f76e4190289fcd6239,category 1.3.1.1,found by mop and missed by ps3cl classCIA classCIAThreads,Specification Iterator_HasNext has been violated on line org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$AutowiredMethodElement.inject(AutowiredAnnotationBeanPostProcessor.java:575),unsafe - JDeps says file is unused,FALSE,event in library
jmxtrans-embedded-jmxtrans,bfd614eb8d9bd8127580f224993f29ed4c5955b0,category 1.1.1,found by mop and missed by ps3cl,Specification Collection_UnsafeIterator has been violated on line org.apache.commons.pool.impl.CursorableLinkedList.clear(CursorableLinkedList.java:218),unsafe - never see before,FALSE,event in library
JodaOrg-joda-time,75ab8caeaadb6ffcef7726c1bc38ed0ee3b0eb18,category 1.3.2.1,found by mop and missed by ps1c ps3cl cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads,Specification StringTokenizer_HasMoreElements has been violated on line org.joda.time.tz.ZoneInfoCompiler$Rule.<init>(ZoneInfoCompiler.java:714),"false positive - reused old bytecode (CUT, affects only clean bc techniques)",TRUE,
JodaOrg-joda-time,75ab8caeaadb6ffcef7726c1bc38ed0ee3b0eb18,category 1.3.2.1,found by mop and missed by ps1c ps3cl cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads,Specification StringTokenizer_HasMoreElements has been violated on line org.joda.time.tz.ZoneInfoCompiler$Zone.<init>(ZoneInfoCompiler.java:853),"false positive - reused old bytecode (CUT, affects only clean bc techniques)",TRUE,
JodaOrg-joda-time,75ab8caeaadb6ffcef7726c1bc38ed0ee3b0eb18,category 1.3.2.1,found by mop and missed by ps1c ps3cl cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads,Specification StringTokenizer_HasMoreElements has been violated on line org.joda.time.tz.ZoneInfoCompiler$Zone.<init>(ZoneInfoCompiler.java:859),"false positive - reused old bytecode (CUT, affects only clean bc techniques)",TRUE,
JodaOrg-joda-time,87dcb3341e1e1c34b276ab6f4df1b2eea095f075,category 1.3.2.1,found by mop and missed by ps1c ps3cl cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads,Specification StringTokenizer_HasMoreElements has been violated on line org.joda.time.tz.ZoneInfoCompiler$Rule.<init>(ZoneInfoCompiler.java:727),"false positive - reused old bytecode (CUT, affects only clean bc techniques)",TRUE,
JodaOrg-joda-time,87dcb3341e1e1c34b276ab6f4df1b2eea095f075,category 1.3.2.1,found by mop and missed by ps1c ps3cl cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads,Specification StringTokenizer_HasMoreElements has been violated on line org.joda.time.tz.ZoneInfoCompiler$Zone.<init>(ZoneInfoCompiler.java:874),"false positive - reused old bytecode (CUT, affects only clean bc techniques)",TRUE,
